11,12,XX,XX,14,15,XX,XX,17,XX,21,XX,26,53,66,70,XX,XX,XX,XX,XX,73,75,77,86,XX,90,XX,09,18,XX,21,22,XX,XX,33,35,XX,45,XX,XX,52,57,XX,60,XX,XX,XX,64,68,71,XX,73,81,01,14,XX,XX,XX,30,XX,33,49,50,56,XX,XX,57,XX,59,XX,63,65,73,77,81,89,XX,XX,XX,XX,0570
XX,07,13,24,30,XX,XX,35,XX,XX,XX,36,40,45,XX,XX,57,68,XX,69,73,XX,82,XX,83,86,XX,XX,09,19,21,XX,XX,30,XX,34,35,XX,XX,XX,38,XX,42,46,54,XX,59,XX,64,69,79,XX,XX,86,XX,07,XX,XX,13,17,21,XX,23,31,XX,32,36,XX,55,XX,XX,59,XX,67,76,XX,77,XX,88,90,XX,0571
XX,04,05,XX,07,XX,XX,10,23,XX,30,33,XX,34,XX,40,XX,45,47,XX,54,57,83,86,XX,XX,XX,XX,01,06,XX,XX,13,15,19,XX,XX,30,XX,32,33,XX,44,58,XX,XX,62,XX,64,XX,XX,70,71,85,08,13,17,XX,XX,XX,22,25,XX,XX,XX,XX,33,49,51,68,75,XX,80,81,XX,83,XX,XX,XX,86,87,0572
XX,XX,02,03,XX,11,16,17,XX,31,35,37,45,XX,XX,XX,50,XX,51,52,XX,61,67,XX,XX,XX,84,10,15,XX,XX,17,XX,21,22,XX,XX,XX,27,XX,XX,29,31,36,38,XX,44,XX,47,49,52,XX,70,XX,24,XX,XX,XX,XX,26,27,31,33,34,XX,XX,35,54,XX,63,XX,67,69,79,XX,XX,85,88,XX,89,XX,0573
XX,XX,XX,XX,05,08,13,17,22,XX,XX,23,27,33,38,XX,42,XX,XX,52,XX,XX,64,66,XX,69,75,XX,10,13,XX,XX,XX,15,19,22,XX,24,XX,XX,34,48,53,XX,55,XX,59,62,68,XX,72,XX,XX,89,02,XX,XX,XX,09,XX,13,26,28,31,32,XX,XX,36,XX,39,XX,40,53,64,83,XX,XX,XX,86,87,XX,0574
XX,12,16,XX,31,XX,35,46,XX,48,49,50,XX,55,XX,XX,61,XX,74,79,81,XX,XX,87,XX,90,XX,02,XX,XX,03,16,17,XX,XX,32,34,XX,35,40,41,XX,XX,50,XX,61,62,XX,78,XX,XX,82,83,XX,XX,01,17,XX,XX,27,32,37,XX,XX,38,39,51,54,XX,XX,XX,55,57,58,XX,63,XX,80,XX,XX,85,0575
10,14,27,XX,XX,36,XX,38,XX,40,XX,42,XX,63,67,69,XX,XX,XX,XX,72,82,83,87,XX,90,XX,XX,03,XX,XX,08,11,17,24,XX,XX,37,46,XX,XX,52,XX,58,65,XX,66,75,XX,77,XX,81,XX,82,01,XX,11,XX,XX,12,XX,14,17,18,XX,XX,19,21,XX,22,29,XX,30,XX,XX,47,65,XX,68,88,XX,0576
XX,08,18,XX,30,XX,XX,32,43,47,XX,49,XX,57,62,XX,64,XX,68,XX,XX,76,82,XX,86,88,XX,09,11,18,XX,XX,29,XX,XX,31,XX,XX,XX,33,51,52,XX,57,58,XX,59,71,77,78,XX,XX,XX,88,XX,01,14,18,XX,29,XX,XX,53,55,XX,57,58,64,XX,XX,70,XX,XX,71,78,80,XX,XX,85,89,XX,0577
XX,01,05,18,XX,XX,XX,20,25,XX,27,XX,XX,31,32,42,XX,46,XX,XX,XX,48,51,61,73,XX,90,06,08,XX,11,XX,XX,14,XX,18,XX,30,XX,33,43,XX,45,XX,62,XX,XX,XX,XX,71,75,78,86,90,XX,05,XX,07,XX,10,12,13,XX,14,XX,15,19,22,XX,25,XX,XX,39,XX,49,XX,52,XX,XX,62,77,0578
XX,02,09,XX,XX,10,XX,34,38,XX,XX,45,49,51,XX,XX,52,53,XX,54,XX,66,XX,XX,87,88,89,09,XX,10,XX,26,XX,XX,34,35,39,47,XX,57,XX,63,XX,XX,66,XX,72,XX,73,XX,74,79,XX,86,18,XX,19,XX,21,XX,XX,33,35,58,62,XX,63,66,XX,69,XX,XX,70,73,XX,75,XX,84,XX,XX,86,0579
11,12,XX,13,XX,XX,XX,25,39,40,XX,XX,47,52,XX,58,60,XX,63,68,XX,XX,XX,75,XX,84,85,12,XX,22,32,41,XX,44,XX,XX,51,55,58,XX,XX,XX,65,XX,67,XX,69,72,XX,XX,80,XX,82,86,XX,XX,07,11,19,XX,22,23,XX,26,30,XX,XX,XX,34,XX,43,48,XX,XX,49,XX,71,75,76,85,XX,0580
XX,07,11,XX,14,16,XX,XX,17,XX,XX,18,23,XX,44,58,XX,67,XX,XX,68,74,XX,83,87,88,XX,06,XX,10,12,20,XX,XX,28,XX,31,XX,58,XX,61,62,XX,64,XX,68,XX,70,XX,XX,XX,72,73,84,XX,04,07,08,13,XX,XX,17,XX,37,XX,XX,40,45,XX,48,XX,49,52,XX,57,XX,67,XX,79,86,XX,0581
XX,13,XX,14,19,36,XX,XX,44,45,47,49,XX,XX,55,67,XX,XX,XX,78,XX,84,XX,87,88,90,XX,XX,01,12,14,XX,20,XX,XX,28,30,32,XX,36,XX,XX,XX,64,67,81,XX,83,XX,85,87,89,XX,XX,14,22,26,31,XX,XX,XX,34,XX,37,XX,42,43,52,54,XX,XX,XX,57,XX,XX,68,69,74,81,XX,XX,0582
XX,XX,02,03,04,XX,07,12,XX,13,19,XX,XX,20,XX,XX,27,37,XX,43,XX,49,59,XX,XX,81,88,XX,02,XX,10,19,22,XX,29,XX,XX,XX,36,38,39,42,XX,XX,57,XX,59,70,76,XX,XX,XX,89,90,XX,XX,11,XX,14,23,28,XX,29,40,XX,XX,XX,XX,47,48,65,71,XX,72,XX,78,81,XX,XX,89,90,0583
13,20,24,XX,34,39,XX,XX,XX,XX,42,43,XX,44,XX,45,XX,64,70,XX,XX,76,78,XX,82,XX,89,06,XX,XX,09,11,XX,17,20,XX,XX,XX,XX,32,37,XX,38,41,42,43,XX,49,XX,62,64,XX,XX,71,09,XX,13,14,15,XX,XX,XX,18,XX,25,27,XX,30,32,XX,53,XX,63,XX,64,XX,XX,XX,68,70,81,0584
05,XX,XX,10,XX,23,24,37,XX,42,48,XX,XX,49,XX,54,XX,56,XX,XX,62,70,XX,76,78,85,XX,XX,16,XX,20,22,XX,30,XX,37,XX,XX,38,XX,XX,39,40,50,60,63,67,69,XX,75,XX,85,XX,XX,03,11,XX,XX,26,35,XX,XX,39,45,51,XX,56,XX,66,XX,70,XX,78,XX,XX,XX,81,XX,83,86,90,0585
02,XX,XX,03,09,35,XX,44,XX,45,47,55,XX,65,XX,XX,67,XX,71,XX,77,XX,XX,78,XX,81,87,05,11,XX,20,XX,29,XX,XX,36,XX,XX,45,54,55,58,XX,61,XX,63,69,XX,XX,XX,70,XX,81,85,XX,XX,04,08,14,XX,20,XX,23,XX,XX,39,42,XX,48,XX,54,55,57,XX,66,XX,XX,71,79,85,XX,0586
XX,10,18,XX,XX,27,29,30,XX,33,XX,XX,37,46,47,XX,48,XX,50,XX,XX,54,77,81,XX,83,XX,04,06,XX,07,XX,XX,28,XX,29,43,44,45,XX,XX,XX,46,XX,52,56,XX,XX,75,83,85,XX,89,XX,XX,04,12,XX,14,XX,XX,16,33,45,XX,47,54,55,XX,58,XX,XX,XX,59,XX,64,XX,74,XX,84,90,0587
XX,01,XX,13,XX,20,25,XX,29,32,33,XX,XX,55,56,XX,XX,62,72,XX,XX,76,82,XX,XX,83,89,04,06,08,XX,XX,XX,XX,11,13,18,34,XX,39,50,XX,67,XX,XX,XX,XX,XX,69,73,82,87,88,XX,XX,02,10,22,XX,27,37,XX,XX,XX,39,42,43,45,47,XX,XX,XX,63,68,XX,XX,85,86,XX,XX,90,0588
09,21,28,XX,XX,XX,34,35,XX,XX,XX,40,43,XX,48,51,XX,55,XX,56,XX,XX,59,66,67,XX,68,XX,09,16,XX,XX,25,26,29,XX,31,XX,36,47,XX,XX,49,52,XX,XX,65,66,XX,69,XX,XX,72,88,XX,06,14,XX,17,29,32,XX,XX,37,39,46,50,XX,XX,XX,56,XX,62,XX,63,XX,66,XX,73,XX,81,0589
XX,18,20,XX,26,28,XX,31,XX,35,43,46,49,69,XX,XX,XX,XX,XX,74,XX,75,77,XX,79,XX,87,10,11,XX,XX,XX,14,17,XX,30,XX,38,XX,40,XX,45,56,XX,57,XX,60,64,76,XX,XX,80,XX,82,XX,13,17,XX,19,XX,20,24,XX,XX,25,39,51,XX,60,XX,63,XX,66,XX,XX,XX,69,74,82,83,XX,0590
02,05,XX,15,17,19,XX,XX,XX,20,XX,37,XX,57,XX,68,71,XX,XX,XX,78,79,XX,80,86,88,XX,05,09,XX,XX,10,34,41,XX,XX,XX,44,55,62,66,XX,XX,68,XX,XX,69,XX,XX,75,81,85,XX,90,XX,XX,07,09,13,14,15,XX,XX,23,31,43,47,58,XX,XX,XX,XX,66,69,XX,XX,77,78,XX,XX,90,0591
06,12,28,XX,XX,XX,29,31,XX,35,39,XX,XX,45,XX,48,XX,52,XX,53,63,75,XX,80,XX,XX,83,XX,XX,01,12,13,XX,14,XX,17,23,XX,XX,38,47,58,XX,59,XX,XX,60,64,XX,XX,XX,74,83,84,XX,04,XX,06,24,XX,XX,25,27,XX,33,XX,37,44,45,XX,59,XX,72,XX,76,79,80,84,XX,XX,XX,0592
03,XX,04,06,XX,12,24,XX,XX,XX,32,XX,33,XX,XX,38,39,57,XX,63,XX,74,XX,XX,79,81,83,XX,02,13,15,XX,XX,20,XX,23,XX,25,27,XX,28,XX,48,52,XX,57,58,70,80,XX,XX,82,XX,XX,XX,XX,04,XX,11,20,35,XX,36,38,48,XX,54,65,XX,XX,66,XX,74,XX,76,XX,83,XX,XX,88,89,0593
XX,03,14,33,34,41,XX,XX,XX,XX,XX,44,49,XX,XX,51,53,61,71,74,XX,XX,75,XX,85,XX,88,XX,01,03,08,11,XX,XX,XX,16,32,XX,38,43,46,XX,XX,XX,51,53,XX,75,XX,XX,XX,80,86,90,XX,06,10,XX,17,20,24,XX,XX,33,XX,38,XX,42,44,XX,60,XX,61,74,XX,79,XX,XX,87,XX,89,0594
07,17,XX,18,20,XX,XX,XX,23,XX,33,XX,XX,34,60,65,67,XX,68,73,XX,XX,77,XX,85,90,XX,05,XX,06,08,XX,XX,11,XX,18,25,XX,XX,29,52,XX,53,56,XX,XX,60,79,82,XX,XX,84,86,XX,XX,01,05,08,16,17,XX,XX,XX,18,37,XX,XX,42,XX,46,55,XX,XX,XX,61,XX,66,70,XX,75,90,0595
02,05,XX,XX,XX,XX,13,31,35,40,41,XX,42,XX,XX,44,56,XX,XX,XX,78,XX,80,81,87,XX,88,07,XX,XX,17,18,XX,19,22,XX,36,39,40,XX,XX,53,XX,XX,61,64,XX,66,67,71,XX,77,XX,XX,04,XX,05,13,XX,19,XX,26,XX,XX,30,34,35,44,46,XX,XX,XX,55,60,XX,XX,65,69,XX,79,XX,0596
XX,05,07,24,XX,XX,XX,29,30,XX,35,XX,43,XX,45,52,XX,54,XX,61,68,76,84,XX,XX,89,XX,01,02,14,XX,17,XX,XX,XX,31,34,35,XX,46,XX,54,XX,XX,55,XX,67,75,XX,77,84,XX,XX,89,XX,02,XX,12,XX,XX,13,14,20,37,51,52,56,XX,XX,64,XX,XX,66,67,XX,XX,XX,XX,73,77,88,0597
XX,07,08,10,XX,XX,29,XX,31,XX,32,35,48,XX,50,XX,53,XX,56,XX,XX,XX,57,XX,83,85,88,XX,09,XX,12,XX,19,XX,20,23,26,35,XX,XX,XX,XX,36,50,63,65,XX,75,XX,79,XX,88,XX,90,03,09,XX,XX,14,XX,XX,29,31,36,40,XX,XX,47,51,XX,XX,54,59,XX,69,XX,73,82,XX,83,XX,0598
02,06,XX,XX,XX,09,10,XX,13,14,23,32,XX,XX,46,XX,56,XX,57,XX,62,XX,XX,XX,75,83,84,XX,04,08,12,XX,XX,16,XX,21,XX,43,XX,47,57,59,XX,67,XX,68,69,XX,74,77,XX,XX,XX,79,01,04,XX,09,12,XX,XX,XX,13,21,XX,37,XX,XX,XX,38,41,50,XX,59,XX,XX,62,75,78,84,XX,0599
03,04,XX,09,XX,XX,XX,15,17,20,XX,30,33,XX,XX,34,XX,37,XX,45,67,79,XX,80,XX,87,XX,XX,XX,01,02,07,10,23,XX,XX,XX,28,34,37,XX,XX,XX,44,54,57,61,XX,XX,XX,72,83,85,XX,XX,XX,08,XX,09,17,24,28,XX,XX,30,35,42,XX,XX,52,58,XX,62,XX,67,71,XX,XX,XX,80,90,0600
10,XX,11,XX,XX,12,XX,17,24,25,XX,XX,26,XX,27,34,XX,35,XX,45,46,XX,56,XX,66,XX,67,XX,XX,03,04,05,08,16,XX,XX,XX,20,XX,43,50,52,XX,XX,55,56,58,XX,66,XX,XX,XX,79,89,02,XX,18,XX,XX,24,27,37,XX,XX,41,XX,53,57,XX,59,XX,60,XX,XX,XX,65,70,81,85,XX,87,0601
XX,02,XX,03,XX,05,07,10,XX,XX,15,XX,31,XX,34,48,51,XX,XX,65,67,XX,XX,69,87,89,XX,XX,15,21,XX,XX,37,XX,40,44,45,XX,52,XX,XX,55,71,XX,73,XX,74,XX,XX,77,XX,78,83,89,XX,XX,XX,01,03,10,XX,12,16,23,34,36,XX,XX,XX,40,47,XX,XX,XX,48,55,69,XX,75,XX,87,0602
XX,03,XX,05,07,XX,XX,10,22,28,XX,XX,XX,XX,43,44,45,58,XX,61,XX,XX,70,76,78,87,XX,XX,XX,01,13,19,XX,21,41,XX,44,59,XX,XX,63,XX,66,XX,74,75,XX,81,XX,82,84,XX,XX,87,01,XX,XX,02,04,05,XX,10,XX,12,19,XX,XX,XX,23,28,XX,30,32,43,63,XX,66,68,XX,XX,XX,0603
XX,XX,XX,04,07,XX,12,18,29,32,XX,36,XX,50,XX,52,65,XX,67,XX,XX,XX,72,74,XX,79,89,XX,02,09,12,XX,24,XX,XX,33,34,XX,43,46,50,XX,52,XX,XX,XX,XX,XX,56,74,76,83,XX,84,05,12,XX,XX,XX,23,XX,25,29,39,47,XX,XX,48,62,63,XX,XX,64,77,84,XX,XX,87,89,XX,XX,0604
XX,XX,15,30,XX,31,38,44,XX,55,59,XX,68,XX,XX,XX,69,79,80,83,84,XX,XX,88,XX,XX,89,01,XX,XX,XX,XX,26,35,42,47,XX,54,62,63,64,68,XX,XX,XX,71,XX,76,81,XX,XX,83,85,XX,XX,XX,26,31,XX,33,37,XX,41,XX,55,XX,57,58,60,67,XX,XX,69,73,XX,76,XX,XX,79,XX,89,0605
XX,17,18,23,XX,XX,XX,24,26,XX,28,30,XX,34,XX,49,55,XX,XX,64,XX,XX,XX,72,75,79,89,XX,XX,08,09,16,23,XX,XX,35,XX,XX,XX,XX,38,39,56,57,60,64,67,XX,74,XX,83,XX,86,XX,XX,11,18,XX,21,23,25,XX,XX,XX,32,44,53,54,66,XX,XX,XX,XX,XX,79,XX,80,81,85,88,XX,0606
26,XX,XX,39,40,47,XX,XX,49,55,XX,56,XX,XX,64,XX,67,69,71,81,XX,XX,86,89,90,XX,XX,XX,08,XX,11,16,XX,22,XX,27,31,35,41,XX,XX,XX,XX,51,58,61,62,86,87,XX,XX,88,XX,XX,05,XX,09,XX,14,18,21,XX,XX,XX,23,XX,47,XX,49,55,57,XX,XX,XX,61,76,77,78,XX,81,XX,0607
18,23,XX,42,XX,XX,44,47,XX,50,53,XX,57,XX,XX,60,70,XX,74,XX,77,84,86,XX,XX,XX,89,01,XX,03,XX,XX,14,24,XX,29,XX,35,XX,XX,41,XX,54,64,65,XX,66,71,XX,XX,74,XX,81,86,03,12,XX,15,XX,XX,XX,22,45,XX,48,52,61,64,XX,65,XX,XX,67,XX,68,XX,72,XX,XX,76,80,0608
XX,12,XX,XX,XX,14,24,33,39,XX,41,48,XX,XX,51,52,XX,57,XX,61,80,83,XX,XX,89,XX,90,03,04,11,XX,XX,XX,20,XX,27,XX,37,41,XX,XX,54,62,64,XX,XX,XX,71,74,80,89,XX,90,XX,12,14,15,XX,XX,16,XX,17,XX,21,XX,28,30,XX,36,XX,43,XX,45,XX,59,74,81,XX,XX,XX,90,0609
03,06,13,XX,15,XX,21,XX,XX,XX,29,XX,XX,XX,36,41,43,51,55,XX,59,XX,61,XX,81,XX,86,02,09,XX,16,20,XX,XX,XX,24,30,35,39,XX,44,55,XX,XX,XX,XX,XX,57,67,XX,74,79,89,XX,01,13,20,26,XX,XX,XX,29,XX,XX,XX,30,XX,33,37,47,XX,76,78,XX,XX,81,82,84,XX,XX,90,0610
02,04,06,XX,XX,15,XX,32,XX,XX,51,52,XX,XX,XX,56,60,77,78,81,XX,84,86,XX,XX,88,XX,XX,XX,17,18,XX,21,XX,23,26,35,44,XX,XX,56,57,XX,67,XX,XX,XX,71,XX,77,78,XX,79,82,03,XX,XX,XX,05,08,XX,10,11,18,24,XX,XX,XX,32,XX,55,66,73,77,XX,XX,81,82,XX,88,XX,0611
XX,08,XX,XX,09,XX,11,14,19,XX,26,27,XX,XX,28,XX,39,41,XX,XX,XX,49,71,XX,80,83,86,02,XX,XX,10,15,19,XX,XX,26,XX,27,32,XX,XX,37,47,48,XX,XX,51,72,XX,XX,XX,75,79,85,XX,XX,01,10,16,XX,21,XX,24,25,XX,33,34,XX,XX,36,41,XX,66,76,78,XX,XX,86,XX,87,XX,0612
10,11,XX,31,XX,33,XX,XX,42,43,48,XX,58,63,71,XX,XX,XX,77,79,XX,81,82,XX,XX,89,XX,04,10,XX,XX,XX,11,25,XX,26,XX,31,40,XX,XX,53,58,XX,64,73,XX,XX,XX,81,XX,85,89,90,XX,02,XX,XX,18,19,21,26,XX,XX,XX,33,46,63,65,66,XX,XX,82,85,86,XX,XX,XX,XX,87,89,0613
XX,03,08,12,XX,XX,27,28,XX,29,XX,37,XX,39,43,XX,45,XX,XX,XX,46,59,XX,XX,72,76,89,XX,01,13,23,XX,XX,XX,26,29,34,39,XX,XX,46,XX,53,61,XX,XX,XX,67,68,71,XX,XX,84,89,XX,XX,07,XX,15,XX,22,25,29,37,XX,41,XX,42,XX,45,46,XX,62,67,XX,XX,71,72,XX,XX,89,0614
XX,XX,07,14,16,XX,XX,21,24,XX,XX,30,32,35,XX,43,56,XX,59,XX,67,71,72,XX,XX,XX,75,XX,03,XX,05,08,XX,09,14,XX,31,XX,32,XX,49,XX,59,64,XX,XX,XX,68,70,74,76,XX,XX,88,08,12,XX,23,28,30,XX,XX,XX,36,41,49,52,55,XX,XX,XX,XX,XX,65,69,XX,71,74,XX,XX,80,0615
XX,XX,01,02,XX,25,XX,31,33,XX,XX,XX,XX,35,38,42,44,50,XX,51,53,58,64,XX,XX,XX,75,XX,03,XX,XX,XX,05,07,12,35,XX,XX,40,43,44,50,XX,51,XX,57,XX,XX,60,76,77,88,XX,XX,07,XX,09,10,12,XX,XX,27,XX,XX,XX,XX,39,43,44,55,XX,58,XX,59,62,74,XX,82,XX,88,XX,0616
XX,01,04,XX,XX,07,XX,08,09,17,XX,XX,20,32,33,XX,40,XX,XX,XX,XX,50,58,66,80,83,XX,02,XX,30,31,XX,47,50,XX,XX,XX,52,54,59,XX,XX,60,62,XX,72,XX,XX,79,81,85,XX,XX,86,10,14,XX,XX,XX,XX,22,23,30,40,48,XX,XX,XX,50,51,59,XX,63,74,XX,77,85,XX,XX,XX,90,0617
XX,04,12,XX,22,23,XX,XX,25,31,XX,33,XX,41,51,XX,56,XX,XX,XX,60,63,77,85,86,XX,XX,03,XX,XX,07,20,31,XX,XX,34,36,XX,37,47,XX,49,XX,53,XX,65,XX,66,71,XX,74,XX,XX,83,01,05,06,26,XX,XX,XX,XX,33,35,XX,43,46,XX,55,67,XX,XX,XX,XX,70,71,78,XX,79,XX,80,0618
01,XX,XX,10,XX,13,15,16,XX,XX,17,18,XX,XX,20,22,41,XX,42,57,XX,XX,XX,XX,67,79,85,XX,XX,XX,25,28,XX,32,33,45,48,XX,XX,54,57,XX,XX,65,68,74,75,XX,81,XX,82,XX,XX,86,06,13,XX,15,XX,24,XX,27,XX,XX,XX,28,36,47,XX,XX,55,60,64,82,XX,XX,XX,85,88,89,XX,0619
02,XX,05,XX,16,XX,XX,17,21,XX,34,XX,35,36,40,XX,44,XX,46,72,XX,XX,76,85,90,XX,XX,XX,XX,04,05,XX,14,XX,16,22,30,31,37,XX,XX,52,53,XX,XX,56,XX,60,XX,XX,77,81,XX,87,02,XX,XX,XX,07,10,13,XX,19,22,XX,33,55,XX,58,60,XX,XX,61,XX,64,67,70,XX,XX,XX,77,0620
XX,11,16,XX,19,XX,XX,21,22,XX,29,XX,XX,33,41,52,XX,58,62,67,70,XX,73,86,XX,XX,XX,01,XX,08,XX,XX,14,XX,16,35,39,XX,49,XX,54,XX,55,56,XX,XX,57,59,61,62,77,XX,XX,XX,XX,XX,12,15,25,28,37,XX,XX,49,XX,XX,51,66,XX,72,XX,75,78,80,XX,82,XX,89,XX,90,XX,0621
03,XX,09,16,23,30,XX,XX,XX,31,35,42,XX,49,XX,XX,50,XX,58,60,XX,64,XX,XX,84,88,XX,03,XX,XX,04,20,XX,31,XX,32,33,36,40,XX,41,50,XX,XX,XX,55,XX,71,XX,79,87,XX,XX,90,06,21,XX,XX,XX,XX,32,41,43,44,45,55,XX,XX,57,XX,XX,61,62,XX,75,85,XX,88,XX,XX,89,0622
06,08,XX,15,XX,19,XX,27,XX,33,37,XX,51,XX,52,55,XX,XX,XX,XX,56,XX,72,XX,74,81,88,XX,04,07,XX,11,17,XX,XX,21,28,XX,34,XX,XX,48,57,60,XX,XX,62,XX,65,XX,70,XX,79,80,17,21,XX,XX,27,XX,38,XX,40,48,XX,XX,51,52,XX,54,XX,59,64,72,XX,76,XX,XX,83,87,XX,0623
05,07,XX,08,XX,XX,XX,19,20,24,27,42,XX,54,XX,XX,XX,61,62,65,XX,XX,XX,72,XX,88,89,16,19,29,30,32,XX,XX,XX,XX,40,XX,XX,48,50,55,XX,XX,62,63,76,XX,XX,80,XX,82,84,XX,04,12,13,XX,17,XX,XX,32,XX,XX,33,XX,43,XX,XX,48,51,52,XX,XX,53,57,67,79,XX,87,XX,0624
02,04,XX,XX,XX,14,21,XX,22,27,29,XX,XX,50,51,54,XX,XX,XX,56,XX,58,XX,XX,61,70,89,01,04,12,16,17,XX,XX,XX,XX,XX,22,23,XX,XX,24,XX,30,38,XX,64,XX,65,72,75,XX,XX,80,XX,08,XX,14,17,18,XX,XX,26,XX,XX,28,29,XX,39,45,XX,58,XX,XX,65,71,81,XX,86,XX,88,0625
09,10,12,XX,18,XX,XX,19,XX,XX,22,30,35,XX,XX,37,XX,42,XX,46,XX,57,XX,81,87,90,XX,XX,XX,XX,XX,05,11,17,18,23,XX,24,30,35,43,XX,XX,XX,64,67,XX,71,XX,73,76,85,XX,XX,XX,XX,XX,XX,02,07,09,30,42,44,52,57,68,XX,XX,69,XX,XX,XX,72,XX,XX,XX,75,77,80,81,0626
04,XX,XX,14,XX,18,27,31,XX,37,XX,XX,49,53,XX,60,XX,70,XX,XX,XX,73,81,84,XX,89,90,XX,02,22,38,40,46,XX,XX,XX,48,55,56,58,XX,XX,XX,XX,62,63,XX,69,XX,79,XX,83,XX,85,XX,XX,02,05,09,XX,12,XX,28,31,XX,39,XX,XX,46,XX,49,73,74,76,XX,XX,XX,81,XX,83,87,0627
09,10,XX,XX,11,XX,17,24,XX,29,31,34,XX,37,XX,38,XX,XX,62,XX,69,73,XX,78,XX,88,XX,13,19,22,XX,30,33,XX,XX,XX,XX,40,41,44,XX,XX,XX,45,47,XX,49,XX,XX,XX,59,62,67,72,XX,01,18,XX,21,23,XX,28,XX,46,XX,XX,48,55,58,XX,XX,64,XX,66,XX,67,XX,73,82,84,XX,0628
04,08,XX,XX,XX,XX,17,24,28,33,44,56,XX,XX,XX,59,XX,71,72,XX,82,XX,XX,86,87,90,XX,04,20,XX,XX,XX,28,30,35,XX,42,45,XX,XX,XX,49,XX,57,60,XX,70,79,82,84,XX,XX,XX,90,XX,12,13,XX,XX,22,27,XX,37,XX,39,40,42,57,XX,XX,XX,61,68,74,79,XX,84,XX,88,XX,XX,0629
XX,XX,03,08,12,15,XX,XX,20,XX,XX,23,XX,25,XX,54,58,69,XX,71,74,XX,XX,XX,76,84,86,09,21,26,XX,27,35,XX,XX,XX,XX,38,42,XX,XX,48,XX,52,61,63,66,69,XX,XX,76,81,XX,XX,XX,XX,08,XX,18,26,XX,43,46,XX,50,XX,51,53,XX,61,XX,65,XX,71,XX,81,XX,XX,84,85,90,0630
03,06,XX,XX,16,XX,XX,27,30,XX,32,47,XX,56,XX,60,65,XX,XX,XX,71,72,74,77,79,XX,XX,03,XX,XX,15,19,22,XX,XX,32,42,46,58,XX,XX,XX,XX,59,62,XX,63,67,68,73,XX,XX,XX,89,01,XX,02,XX,08,XX,09,22,XX,26,27,36,40,49,XX,XX,XX,XX,52,XX,53,XX,XX,61,65,XX,90,0631
06,XX,XX,10,13,28,35,XX,XX,36,XX,XX,49,58,62,67,XX,XX,70,XX,XX,80,81,XX,XX,86,89,03,09,11,XX,12,13,XX,XX,XX,XX,20,32,XX,XX,37,46,48,XX,XX,52,XX,XX,54,60,82,87,XX,09,XX,XX,17,21,XX,XX,26,30,XX,33,43,XX,45,58,65,XX,XX,70,73,XX,86,88,89,XX,XX,XX,0632
02,XX,05,XX,XX,07,10,XX,14,16,XX,39,XX,53,XX,54,XX,60,XX,63,XX,66,XX,XX,67,81,90,10,XX,16,XX,XX,29,XX,34,39,44,XX,XX,45,XX,XX,47,61,62,67,73,XX,76,XX,86,XX,XX,87,01,03,XX,XX,XX,04,XX,11,19,XX,24,25,XX,31,XX,XX,38,44,XX,53,XX,55,68,84,XX,90,XX,0633
05,20,XX,XX,24,25,27,XX,XX,XX,28,29,35,36,XX,37,XX,XX,39,46,67,68,XX,XX,XX,XX,79,XX,02,XX,03,XX,09,12,XX,15,16,33,XX,XX,34,XX,36,XX,43,XX,53,54,57,XX,XX,XX,70,76,XX,02,XX,XX,03,05,XX,47,51,53,XX,54,55,XX,XX,XX,58,64,XX,77,XX,81,83,88,89,XX,XX,0634
05,XX,XX,XX,06,11,XX,16,33,35,XX,XX,37,XX,52,58,XX,59,XX,62,XX,XX,69,XX,73,82,88,07,XX,XX,XX,18,20,23,29,XX,XX,38,43,XX,51,68,XX,70,XX,XX,71,77,80,XX,85,89,XX,XX,XX,XX,01,02,04,XX,16,20,XX,21,26,XX,XX,XX,29,XX,31,33,XX,XX,43,XX,XX,53,68,76,87,0635
01,05,XX,XX,08,22,XX,XX,23,XX,28,39,XX,XX,54,55,XX,65,66,69,XX,74,82,XX,XX,XX,89,01,XX,XX,16,18,19,23,XX,XX,XX,33,35,XX,XX,37,43,46,XX,52,60,XX,XX,63,XX,67,XX,79,02,17,XX,XX,XX,XX,21,22,25,36,XX,XX,XX,51,55,XX,61,67,73,XX,XX,74,XX,78,81,XX,83,0636
XX,02,06,07,17,XX,18,XX,XX,20,21,23,XX,29,XX,36,XX,XX,40,XX,46,59,78,XX,XX,89,XX,XX,01,03,XX,06,13,XX,XX,14,XX,21,XX,XX,XX,25,30,41,45,XX,53,62,64,XX,XX,79,XX,83,02,XX,03,XX,05,XX,06,XX,14,XX,19,XX,32,45,56,58,XX,XX,XX,61,XX,XX,63,68,80,83,XX,0637
XX,03,XX,10,11,12,XX,13,XX,XX,XX,XX,17,24,25,39,XX,41,XX,43,46,XX,XX,65,66,86,XX,XX,XX,03,XX,13,15,XX,19,25,40,42,XX,XX,XX,44,46,49,XX,63,XX,68,XX,XX,76,XX,77,89,XX,15,17,XX,22,XX,26,33,XX,36,XX,41,50,54,XX,56,XX,XX,XX,58,59,XX,XX,66,XX,72,78,0638
